Geo_Key,County,Geo_Center_Latitude,Geo_Center_Longitude
CO34001,Atlantic,39.469354,-74.633758
CO34003,Bergen,40.959699,-74.074727
CO34005,Burlington,39.875786,-74.663006
CO34007,Camden,39.802352,-74.961251
CO34009,Cape May,39.086143,-74.847716
CO34011,Cumberland,39.328434,-75.121628
CO34013,Essex,40.7874,-74.246292
CO34015,Gloucester,39.722875,-75.145679
CO34017,Hudson,40.731375,-74.078601
CO34019,Hunterdon,40.565283,-74.911969
CO34021,Mercer,40.282503,-74.703724
CO34023,Middlesex,40.439613,-74.407579
CO34025,Monmouth,40.287048,-74.152446
CO34027,Morris,40.858581,-74.547427
CO34029,Ocean,39.865669,-74.258864
CO34031,Passaic,41.03789,-74.29828
CO34033,Salem,39.573828,-75.357356
CO34035,Somerset,40.565527,-74.619938
CO34037,Sussex,41.137461,-74.691914
CO34039,Union,40.659871,-74.308696
CO34041,Warren,40.853491,-75.009498
